,0
0,5.230843416273435
1,4.50440958558231
2,4.197335966075778
3,4.857444893189593
4,6.003117627246124
5,6.759728494458939
6,4.558052608904139
7,4.536365068051818
8,4.2377548460918275
9,4.466313174878937
10,5.553878222958121
11,4.742103917677549
12,4.944796499888606
13,5.86730985121448
14,5.075893239998806
15,6.880772190075554
16,5.607610100148845
17,4.034070789290252
18,6.9793841823924305
19,4.691715482778149
20,4.39168619224517
21,5.789840630796205
22,5.181031414749902
23,3.8790272779221233
24,4.310206764771066
25,4.853972920377411
26,5.50736417125899
27,5.4650936385854925
28,4.902435616927806
29,5.810489173298715
30,5.03351238657458
31,4.790244442961758
32,6.319443471067158
33,4.262004088577639
34,5.516573995066631
35,7.464791606974733
36,5.792506741118167
37,5.6650239810813945
38,4.144347327304209
39,5.499329932298057
40,4.6764354863138795
41,4.371628544410581
42,5.324726444245537
43,5.125575734725575
44,5.206666551260281
45,4.57745055330038
46,4.790658099526426
47,5.496814285969277
48,3.9185111856596255
49,5.6971111476323095
50,6.202336194701251
51,5.069508242928485
52,4.546526194160678
53,4.7194233171581175
54,4.409558220724867
55,5.088210633591314
56,5.0843872107738575
57,4.453581097898587
58,3.781738690470361
59,4.42908472623115
60,4.634944698274851
61,5.64501960896154
62,4.944176470515477
63,3.7705458059184527
64,5.182140829169921
65,5.057589747898719
66,4.473765120402615
67,6.38631474250979
68,5.88451443034813
69,4.8734888364771365
70,5.122138717428832
71,5.395542693737829
72,4.0756654586523995
73,3.8763213166927835
74,4.827974468837329
75,4.499040733306956
76,5.874644691720861
77,5.056842485987025
78,5.885841826108974
79,6.081974393161697
80,6.718704833141654
81,5.692267864772957
82,6.751539842460206
83,2.6564135677749765
84,4.85945110950124
85,4.388858306196321
86,5.878435462653415
87,5.0665656249818385
88,6.400657141178158
89,6.168943308868698
90,4.8963595421638395
91,5.83013548455168
92,5.676461783319275
93,6.4279568214396425
94,4.679343958522
95,4.782471922356248
96,5.196308814996987
97,5.8971326247307605
98,4.336447812824797
99,3.565441619484005
100,3.41926963139003
101,3.912066204880369
102,3.9203786500852917
103,5.758786563024621
104,4.2524005256567
105,4.755589740667439
106,6.60269810767554
107,3.541200237877309
108,5.141809486455515
109,5.014024181847289
110,5.841946672353238
111,5.990907684912462
112,6.119299811818449
113,4.99296179476809
114,4.506390703934653
115,5.069104196586581
116,5.713593015661916
117,4.464042470280262
118,6.032839280332583
119,4.325755330625567
120,5.091993400653856
121,5.916709644409527
122,3.9826312101148247
123,3.489705981101131
124,3.8239448793128883
125,3.55755652961549
126,6.050639104231328
127,5.408240131303557
128,4.438258151442686
129,3.705944160623956
130,4.748133389272463
131,3.4734185502694706
132,4.80718884365054
133,6.184582836155454
134,2.9178921420994888
135,3.380369699987644
136,4.216574456264645
137,5.463465791441723
138,4.908400069456124
139,3.5885085514001798
140,5.0750133110384406
141,4.297301250958776
142,4.658965827590582
143,3.296081593537237
144,6.2266737331099105
145,5.785632355353226
146,4.00221789193111
147,3.7064360657393416
148,4.903447145037472
149,5.643377312693019
150,4.643912037226291
151,2.862827760794575
152,4.146813357609477
153,5.133583720322748
154,5.4486883509400625
155,4.9413846861401005
156,7.156862008785135
157,4.548350524014915
158,5.971028086441357
159,3.9365689007262183
160,5.242508551955255
161,4.788388741586022
162,3.82038334057307
163,4.785909551014964
164,4.930672368286931
165,4.82264896745646
166,3.518167145561491
167,3.0238968158414363
168,1.9300329881344744
169,6.111718202160189
170,4.931338007845998
171,3.788413427449797
172,3.3658692269580066
173,4.754135566328772
174,3.465319829977305
175,4.718273886391717
176,5.34507867853832
177,4.22050014099111
178,5.856206871100643
179,3.6413970726903604
180,5.921299811331192
181,4.156103826720696
182,3.7786163851909227
183,3.527382346045649
184,5.326512763067361
185,5.60980801143969
186,4.0983443747715596
187,6.002753469268268
188,5.0567085397076825
189,4.1627125222712955
190,6.433144763996188
191,4.462976457541595
192,6.174195493016908
193,5.175643462184457
194,4.0052215606995425
195,2.6439627777745494
196,4.903827230697677
197,4.942882172307099
198,5.240176359365179
199,5.073214657660845
